"x"
"NA.0b25d36d8c.X_SQ1"
"NA.647e2abde0.X_SQ1"
"B_SQ1"
"A_SQ1"
"B.1_SQ1"
"A.3_SQ1"
"B.1.1_SQ1"
"A.3_SQ2"
"A.3_SQ3"
"A.3_SQ4"
"A.3_SQ5"
"A.3_SQ6"
"B.1.1_SQ2"
"A.3_SQ7"
"A.3_SQ8"
"B.1.1_SQ3"
"B.1.X_SQ1"
"B.1.X_SQ2"
"A.3_SQ9"
"B.1.1_SQ4"
"B.1.1_SQ5"
"B.1_SQ2"
"B.1.1_SQ6"
"A.3_SQ10"
"A.3_SQ11"
"B.1.1_SQ7"
"B.1.1_SQ8"
"B.1_SQ3"
"NA.6725d1ae5f.X_SQ1"
"B.1.X_SQ3"
"C.X_SQ1"
"NA.5cad481418.X_SQ1"
"B.1.1_SQ9"
"B.1.X_SQ4"
"B.1.1_SQ10"
"B.1_SQ4"
"D.2_SQ1"
"B.1.36.16_SQ1"
"B.1.1_SQ11"
"B.1_SQ5"
"B.1.219_SQ1"
"B.1.36.8_SQ1"
"B.1.X_SQ5"
"B.1_SQ6"
"B.1.X_SQ6"
"B.1.X_SQ7"
"D.2_SQ2"
"D.2_SQ3"
"B.1.471_SQ1"
"B.1.X_SQ8"
"D.2_SQ4"
"D.2_SQ5"
"D.2_SQ6"
"B.1.319_SQ1"
"B.1.1.70_SQ1"
"B.1_SQ7"
"B.1_SQ8"
"B.1_SQ9"
"B.1_SQ10"
"B.1_SQ11"
"B.1.1.1_SQ1"
"C.14_SQ1"
"B.1.1_SQ12"
"B.1.577_SQ1"
"B.1.X_SQ9"
"D.2_SQ7"
"D.2_SQ8"
"D.2_SQ9"
"D.2_SQ10"
"B.1.X_SQ10"
"D.2_SQ11"
"A_SQ2"
"B.1.X_SQ11"
"D.2_SQ12"
"D.2_SQ13"
"B.1.1.306_SQ1"
"NA.5b602cb94e.X_SQ1"
"B_SQ2"
"B.1.1.28_SQ1"
"B.1.36_SQ1"
"B.1.X_SQ12"
"C.33_SQ1"
"B.1.1.X_SQ1"
"B.1.1_SQ13"
"C.36_SQ1"
"C.36_SQ2"
"A.28_SQ1"
"C.36_SQ3"
"B.1_SQ12"
"NA.46a609b816.X_SQ1"
"C.36.X_SQ1"
"B.1_SQ13"
"B.1.177_SQ1"
"B.1.1.135_SQ1"
"R.1_SQ1"
"NA.22e1eeb199.X_SQ1"
"B.1.351.X_SQ1"
"NA.cfa3dc55ab.X_SQ1"
"B.1.X_SQ13"
"NA.7d21bb2976.X_SQ1"
"B.1.1.50_SQ1"
"B.1.499_SQ1"
"B.1.1.306_SQ2"
"B.1.36_SQ2"
"A.27_SQ1"
"B.1.1.316_SQ1"
"B.1.1.207_SQ1"
"B.1.240_SQ1"
"B.1.243_SQ1"
"B.1.2_SQ1"
"B.1.X_SQ14"
"A_SQ3"
"C.36_SQ4"
"B.1.2_SQ2"
"B.1.X_SQ15"
"B.1.1.50_SQ2"
"B.1.1.519_SQ1"
"B.1.1.7_SQ1"
"C.X_SQ2"
"B.1.160_SQ1"
"B.1.177_SQ2"
"B.1.X_SQ16"
"B.1.1.7_SQ2"
"B.1.1_SQ14"
"C.37_SQ1"
"C.37_SQ2"
"B.1.X_SQ17"
"B.1.575_SQ1"
"B.1.1_SQ15"
"NA.4c4d130660.X_SQ1"
"B.1.617.1_SQ1"
"B.1.258.3_SQ1"
"B.1.2_SQ3"
"B.1.X_SQ18"
"B.1.1.37_SQ1"
"B.1.2_SQ4"
"B.1.623_SQ1"
"B.1_SQ14"
"B.1.258.X_SQ1"
"C.36.3_SQ1"
"B.1.1.519_SQ2"
"B.1.351_SQ1"
"B.1.525_SQ1"
"B.1.258_SQ1"
"B.1.177.53_SQ1"
"B.1.2_SQ5"
"B.1.2_SQ6"
"B.1.2_SQ7"
"B.1.1.519_SQ3"
"B.1.429_SQ1"
"C.38_SQ1"
"B.1.1_SQ16"
"C.36_SQ5"
"C.16_SQ1"
"B.1.429_SQ2"
"B.1.1_SQ17"
"B.1.429_SQ3"
"B.1.160.16_SQ1"
"B.1.1.39_SQ1"
"B.1.2_SQ8"
"B.1.1.519_SQ4"
"B.1.1.7_SQ3"
"B.1.1.7_SQ4"
"B.1.1.317_SQ1"
"B.1.36.35_SQ1"
"B.1.1.X_SQ2"
"B.1.351_SQ2"
"B.1.526_SQ1"
"B.1.1.7_SQ5"
"B.1.351_SQ3"
"B.1.36_SQ3"
"B.1.X_SQ19"
"P.1.X_SQ1"
"B.1.427_SQ1"
"C.37_SQ3"
"B.1.526_SQ2"
"B.1.1.7_SQ6"
"B.1.1.7_SQ7"
"R.1_SQ2"
"B.1.637_SQ1"
"B.1.1.7_SQ8"
"A.23.1_SQ1"
"B.1.2_SQ9"
"B.1.526_SQ3"
"B.1.X_SQ20"
"R.1_SQ3"
"B.1.427_SQ2"
"B.1.36.8_SQ2"
"B.1.1.33_SQ1"
"B.1.1.214_SQ1"
"B.1.1.214_SQ2"
"B.1.1_SQ18"
"B.1.1.214_SQ3"
"B.1.X_SQ21"
"B.1.X_SQ22"
"B.1.214.2_SQ1"
